O/F,c*_m/s,Tc_K,Isp_vac_s_eps6,Isp_SL_s_eps6,gamma_chamber,MW_g/mol,cp_kJ/kg-K,mu_millipoise,Pr,rho_Isp_s-g/cc
4.10,1480.2,2502,247.06,220.85,1.2638,21.675,0.4489,0.7741,0.5018,171.1
4.20,1489.4,2552,248.75,222.37,1.2596,21.883,0.4523,0.7870,0.4958,172.2
4.30,1498.0,2600,250.33,223.80,1.2555,22.086,0.4563,0.7994,0.4895,173.2
4.40,1506.1,2646,251.83,225.15,1.2513,22.284,0.4608,0.8113,0.4833,174.1
4.50,1513.8,2690,253.24,226.43,1.2472,22.477,0.4658,0.8229,0.4773,175.0
4.60,1521.0,2732,254.58,227.64,1.2430,22.665,0.4714,0.8339,0.4716,175.8
4.70,1527.7,2773,255.84,228.78,1.2389,22.849,0.4776,0.8446,0.4663,176.5
4.80,1534.1,2812,257.04,229.86,1.2348,23.028,0.4845,0.8548,0.4616,177.3
4.90,1540.1,2849,258.17,230.89,1.2307,23.203,0.4921,0.8646,0.4575,178.0
5.00,1545.7,2884,259.24,231.86,1.2265,23.373,0.5005,0.8740,0.4541,178.6
5.10,1551.0,2918,260.26,232.79,1.2224,23.538,0.5096,0.8830,0.4514,179.2
5.20,1556.0,2950,261.23,233.67,1.2182,23.699,0.5197,0.8917,0.4495,179.8
5.30,1560.7,2981,262.14,234.50,1.2141,23.856,0.5307,0.8999,0.4483,180.3
5.40,1565.1,3009,263.01,235.29,1.2100,24.008,0.5427,0.9077,0.4479,180.9
5.50,1569.2,3036,263.84,236.05,1.2059,24.156,0.5557,0.9151,0.4482,181.4
5.60,1573.0,3062,264.62,236.76,1.2018,24.299,0.5698,0.9222,0.4492,181.8
5.70,1576.6,3086,265.37,237.44,1.1978,24.438,0.5849,0.9288,0.4508,182.3
5.80,1579.8,3108,266.07,238.09,1.1939,24.572,0.6011,0.9351,0.4529,182.7
5.90,1582.9,3129,266.74,238.70,1.1901,24.703,0.6182,0.9409,0.4556,183.1
